ProductName,Description,ImagePath,UnitPrice,CategoryID
MINI Cooper diecast,1/64 scale MINI Cooper convertible in die-cast metal,mini_cooper_convertible.jpg,9.99,1
AMX slot car,H.O. scale AMX slot car.,SC314amxBlue-2.jpg,24.99,1
Antique desk plane,"Antique desktop model airplane, metal.",shutterstock_66431341.png,36.99,2
Boeing 787 Dreamliner,Boeing 787 Dreamliner in high-impact plastic.,shutterstock_425925988.png,17.99,2
Corsair F4U Fighter,WWII-era Corsair F4U fighter in blue plastic.,shutterstock_394987015.png,33.99,2
Toy speedboat,"Ages 2-6, plastic toy speedboat that floats.",shutterstock_73424857.png,12.99,4
Toy sailboat,Plastic sailboat -- it floats! Perfect for the bathtub.,shutterstock_124874422.png,12.99,4
Ferrari F1,"Sleek, fast, and perfect for hard floors.",shutterstock_417548860.png,9.99,1
Toy garbage truck,Clean up your bedroom with this toy garbage truck; 1:24 scale.,shutterstock_242495953.png,15.99,3
Classic Volvo P-1800,"Classic Volvo sports car, diecast, in 1:18 scale.",shutterstock_10680655.png,44.99,1
HMS Pinafore,Gilbert & Sullivan would be proud of this toy ship.,shutterstock_401240119.png,55.99,4
Toni Tugboat,"Toy tugboat, perfect for keeping the little ones busy during bathtime.",shutterstock_77720020.png,14.99,4
Ford Focus Diecast,"1/24 scale 2008 Ford Focus, Orange.",shutterstock_151875161.png,23.99,1
Boeing 737 Push toy,"Friction motor Boeing 737 in high-impact plastic. ",shutterstock_329980553.png,12.99,2
Sopwith Camel Museum-quality Model,"Highly detailed collector item, 1 of only 25 made.",shutterstock_48469033.png,3078.99,2
Jack Sparrow Dinghy,The REAL boat of Capt. Jack Sparrow.,shutterstock_124874422.png,11.99,4
1970 Toyota Corolla Wagon,"Diecast metal, 1:24 scale, rolling wheels. Doors open.",shutterstock_673157548.png,34.99,1
GEO Metro Convertible,"Your favorite tiny convertible, the GEO Metro in 1:43 scale.",shutterstock_222935890.png,22.99,1
American LaFrance Fire Truck,"Plastic, 1:24 scale, sure to scare the pet cat.",shutterstock_676363618.png,10.99,3
Bathtime Cruise Ship,Bon Voyage in this 4-inch cruise ship made of artisan plastic.,shutterstock_86757307.png,513.99,4
Monster Dump Truck,This monster model stands 12 inches tall and can hold 75 lbs.,shutterstock_267701450.png,21.99,3
Super Plastic Dump Truck,"Lightweight and strong, perfect for the future builder.",shutterstock_148948355.jpg,22.99,3
Rocketman Rocket!,Rocket like Rocketman used to fly to Mars. Plastic.,shutterstock_273871793.png,11.99,5
